,Image_ID,DL_Separation_Measure,DL_Concentration_Measure,Non_DL_Separation_Measure,Non_DL_Concentration_Measure
71,71.0,0.9999999558179355,0.6773241028539135,0.9784396898954443,0.26510345820144743
72,72.0,0.9999999999997677,0.9867580292584497,0.9641656407743766,0.36679340408163263
73,73.0,1.0,0.999942932146322,0.9565319821632189,0.6580178464787392
74,74.0,0.9999937582111791,0.9998115625235546,0.9646604289183507,0.8286427810492948
75,75.0,1.0,1.0,0.933913272936514,0.19688931928622938
76,76.0,0.9999964142099755,0.99626101024627,0.9465826580352518,0.6728767269756052
77,77.0,1.0,1.0,0.957990127515786,0.21484330977222502
78,78.0,0.9999999027556842,1.0,0.9518193083163954,0.06057607272279946
79,79.0,0.999999999689275,1.0,0.9735586324338699,0.31021973038710476
80,80.0,0.9999993444119225,0.9794074633202812,0.9514177021931871,0.36727993344532517
